date,Vancouver,Portland,San Francisco,Seattle,Los Angeles,San Diego,Las Vegas,Phoenix,Albuquerque,Denver,San Antonio,Dallas,Houston,Kansas City,Minneapolis,Saint Louis,Chicago,Nashville,Indianapolis,Atlanta
201301131700,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301131800,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301131900,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301132000,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301132100,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301132200,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301132300,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301140000,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301140100,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301140200,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301140300,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301140400,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301140500,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301140600,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301140700,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
201301140800,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
201301140900,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95
201301141000,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90
201301141100,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85
201301141200,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80
201301141300,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75
201301141400,35,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70
201301141500,40,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65
201301141600,45,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60
201301141700,50,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55
201301141800,55,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50
201301141900,60,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45
201301142000,65,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40
201301142100,70,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35
201301142200,75,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30
201301142300,80,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25
201301150000,85,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20
201301150100,90,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15
201301150200,95,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10
201301150300,100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5
201301150400,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0
201301150500,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5
201301150600,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10
201301150700,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15
201301150800,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20
201301150900,70,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25
201301151000,65,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30
201301151100,60,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35
201301151200,55,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40
201301151300,50,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45
201301151400,45,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50
201301151500,40,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55
201301151600,35,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60
201301151700,30,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65
201301151800,25,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70
201301151900,20,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
201301152000,15,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
201301152100,10,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
201301152200,5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
201301152300,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
