Email Address,Timestamp,What do you need help with today?,What is the exact question you would like answered?,How long have you yourself already spent working on this problem or question?,,TA who helped,Time Helped,Time Waited,Notes
362,10/11/17 13:56,HW/Project,concept involving slicing,< 5 minutes,,grape,10/11/17 13:56,13:56:57,Needed help with iterating over a string
112,10/11/17 14:17,HW/Project,hw5 part5 how to combine the reverse word,> 60 minutes,,horseradish,10/11/17 14:18,14:18:44,Move a print statement out of a while loop
510,10/11/17 14:19,HW/Project,Need help with printing,31 - 60 minutes,,vanilla,10/11/17 14:21,14:21:59,List wasn  t printing out in the desired format
362,10/11/17 14:24,HW/Project,while loop,6 - 15 minutes,,vanilla,10/11/17 14:26,14:26:50,Having trouble using while loop with string
311,10/11/17 14:42,HW/Project,Problem with string not being found,16 - 30 minutes,,horseradish,10/11/17 14:44,14:44:53,Need a while within a while
262,10/11/17 14:46,HW/Project,Not sure how to bring up a value from a list;,31 - 60 minutes,,vanilla,10/11/17 14:49,14:49:15,Working through logic of hw 5 problem 1
362,10/11/17 15:13,HW/Project,output problem ( index fixing),6 - 15 minutes,,horseradish,10/11/17 15:16,15:16:42,Help iterating through the phrase in word search
235,10/11/17 15:20,HW/Project,"Meaning of Output: None""; having trouble visualizing how to approach getting specific index of each word in phrase""",31 - 60 minutes,,horseradish,10/11/17 15:45,15:45:18,Help iterating through the phrase in word search
362,10/11/17 15:39,HW/Project,fixing outputs,6 - 15 minutes,,yam,10/11/17 16:11,16:11:47,not consistent with variables
325,10/11/17 15:41,HW/Project,I need help making my program index from the start of certain words in hw5 part2;,16 - 30 minutes,,olive,10/11/17 15:56,15:56:39,help understand slicing in the loop
115,10/11/17 15:46,HW/Project,want to check if my overall strategy is going in the right direction; Trying to go through a string and check every word and mark index location; ,16 - 30 minutes,,horseradish,10/11/17 15:54,15:54:28,Help iterating through the phrase in word search
503,10/11/17 15:49,HW/Project,format,< 5 minutes,,olive,10/11/17 16:01,16:01:55,help with format for comment headers
460,10/11/17 15:49,HW/Project,My code isn  t doing what I expect it to;,31 - 60 minutes,,olive,10/11/17 16:06,16:06:05,trying to slice past the end of the string
426,10/11/17 15:56,HW/Project,"I was confused on how to make a certain condition for hw5 part1; Also; are you able to use the in"" function in the hw?""",16 - 30 minutes,,yam,10/11/17 16:06,16:06:39,Used upper(letter) not letter;upper()
361,10/11/17 16:01,Lab,printing min and max trouble,31 - 60 minutes,,olive,10/11/17 16:09,16:09:15,help with lab 6
517,10/11/17 16:04,Lab,Check my working lab program that I completed after the time was over,31 - 60 minutes,,yam,10/11/17 16:17,16:17:13,Checking off lab
193,10/11/17 16:05,HW/Project,adding to a list,6 - 15 minutes,,olive,10/11/17 16:17,16:17:14,help with running total and casting
233,10/11/17 16:07,HW/Project,trouble with case sensitivity,31 - 60 minutes,,yam,10/11/17 16:18,16:18:48,Didn  t know how to pass multiple parameters
503,10/11/17 16:08,HW/Project,different output,6 - 15 minutes,,olive,10/11/17 16:22,16:22:30,placing of in main instead of function
535,10/11/17 16:10,HW/Project,I need help try to average all of the numbers in Part 6,6 - 15 minutes,,yam,10/11/17 16:24,16:24:07,was reassigning average num with every while loop iteration
361,10/11/17 16:18,HW/Project,Need help implementing code for my idea for iterating through a list,31 - 60 minutes,,radish,10/11/17 16:25,16:25:38,When to print with an index
362,10/11/17 16:23,HW/Project,Comparing string,6 - 15 minutes,,olive,10/11/17 16:29,16:29:09,had vaildation in function instead of main
325,10/11/17 16:25,HW/Project,Cannot get an if statement to work to find out if the user specified word is equivalent to the subphrase created through slicing;,16 - 30 minutes,,radish,10/11/17 16:30,16:30:30,How to use upper and lower with correct syntax
362,10/11/17 16:44,HW/Project,hw5 output    while loop,< 5 minutes,,radish,10/11/17 16:45,16:45:25,Needed help with correct while syntax
460,10/11/17 16:47,HW/Project,The program isn  t printing out what I think it would;,> 60 minutes,,olive,10/11/17 16:47,16:47:56,help with debugging
535,10/11/17 16:47,HW/Project,I need help trying to reverse the string in Part 5,6 - 15 minutes,,yam,10/11/17 16:48,16:48:02,Approach on backwards problem
362,10/11/17 16:53,Concept,Boolean flag,< 5 minutes,,yam,10/11/17 16:54,16:54:04,Did not understand boolean flags (why and how to use)
246,10/11/17 16:58,HW/Project,Part 2 isn  t doing anything when I try to run it,31 - 60 minutes,,olive,10/11/17 16:58,16:58:30,wasn  t using input
460,10/11/17 17:02,HW/Project,One quick question about input and outputs,> 60 minutes,,yam,10/11/17 17:16,17:16:29,nevermind
246,10/11/17 17:04,HW/Project,Part 2 no output but no error,31 - 60 minutes,,yam,10/11/17 17:17,17:17:29,whoops; no note 
412,10/11/17 17:19,Lab,I need a lab checked for a 7/8,< 5 minutes,,yam,10/11/17 17:45,17:45:27,Lab check
517,10/11/17 17:21,HW/Project,"Trying to figure out how to increase value number for each input while asking for an input (getting error message: input expected at most 1 arguments; got 3"")""",6 - 15 minutes,,yam,10/11/17 17:47,17:47:11,input doesn  t take multiple parameters; string concatenation
130,10/11/17 17:21,HW/Project,hw5 pt5; i need help figuring out how to make all the result print and also print out the number of the string the user is entering; like string#1; 2;; etc,> 60 minutes,,yam,10/11/17 17:52,17:52:23,Was using weird index thing and didn  t read the doc
185,10/11/17 17:25,HW/Project,I  m not sure how to go about the function part of the second hw problem; Also; I am not sure if I am using boolean flag correctly for prompting the user for correct output; ,16 - 30 minutes,,radish,10/11/17 17:53,17:53:26,CHecking for substring
586,10/11/17 17:29,HW/Project,I need help with homework 5; part 2;,16 - 30 minutes,,yam,10/11/17 17:58,17:58:39,How to slice strings
535,10/11/17 17:36,HW/Project,I need help looking for specific phrases in Part 2,16 - 30 minutes,,radish,10/11/17 17:59,17:59:22,Needed help with finding substring
362,10/11/17 17:39,HW/Project,function,6 - 15 minutes,,,,,office hours over
517,10/12/17 10:00,HW/Project,Figuring out how to print strings spelled backwards from a list,> 60 minutes,,iceberg lettuce,10/12/17 10:15,10:15:06,Issue with count var 
112,10/12/17 10:00,HW/Project,hw5 part6 calculating average,31 - 60 minutes,,grape,10/12/17 10:15,10:15:37,Index out of range errors
555,10/12/17 10:06,HW/Project,help with expected indentation block and concatenation,6 - 15 minutes,,grape,10/12/17 10:28,10:28:01,Confused about stop as a string and temp as a float
578,10/12/17 10:21,HW/Project,Functions,31 - 60 minutes,,grape,10/12/17 10:31,10:31:11,Confused about how backwards is supposed to work
517,10/12/17 10:37,HW/Project,"Help on proper way to use return"" and printing the average of list values""",16 - 30 minutes,,iceberg lettuce,10/12/17 10:41,10:41:26,Needed help with return concept
555,10/12/17 10:39,HW/Project,part 6; trying to figure out how to get average of list,6 - 15 minutes,,iceberg lettuce,10/12/17 10:46,10:46:33,Needed avg number findig help
340,10/12/17 10:48,Concept,Can you search for part of a word in a string using in?,6 - 15 minutes,,grape,10/12/17 10:53,10:53:59,whoops; no note 
173,10/12/17 10:48,HW/Project,How to set up the logic/code for Homework 5 Part 2 ,16 - 30 minutes,,grape,10/12/17 10:56,10:56:42,Needed help with the concept
246,10/12/17 10:54,HW/Project,Part 5 - backwards function,31 - 60 minutes,,iceberg lettuce,10/12/17 10:57,10:57:24,not here
578,10/12/17 10:54,HW/Project,Function,31 - 60 minutes,,iceberg lettuce,10/12/17 10:57,10:57:57,Had an infinite loop 
552,10/12/17 10:55,HW/Project,Confusion on how to approach comparing lists,31 - 60 minutes,,grape,10/12/17 11:04,11:04:10,Needed help with every part of part 1 *sad face*
376,10/12/17 10:55,HW/Project,I am having trouble making the word backwards in part 5 of the homework;,6 - 15 minutes,,daikon,10/12/17 11:06,11:06:01,help with concept of adding string
517,10/12/17 10:57,HW/Project,"(This is my last question; I promise)
getting error for unsupported operand type because I  m trying to use a string (STOP"") to stop adding to a list of floats""",6 - 15 minutes,,daikon,10/12/17 11:11,11:11:32,problem with casting float before checking to make sure it wasnt a string
585,10/12/17 11:00,HW/Project,When I run the program; it is exiting before it should because of some problem with scope;,31 - 60 minutes,,daikon,10/12/17 11:13,11:13:54,counter placed in wrong spot - infinitely looping
340,10/12/17 11:06,HW/Project,I  m having trouble thinking of how to search for a word in a phrase while keeping track of the index that the word was in;,6 - 15 minutes,,daikon,10/12/17 11:17,11:17:17,algorithmic 
549,10/12/17 11:11,HW/Project,hw5_part5;py not casting my string ans search letter correctly,6 - 15 minutes,,daikon,10/12/17 11:23,11:23:52,rubber duck?
555,10/12/17 11:12,HW/Project,help with part 1; to find instances letter is in string,6 - 15 minutes,,daikon,10/12/17 11:28,11:28:11,error with using lower
426,10/12/17 11:25,HW/Project,hw5 part 3 - I have to hit enter twice to exit the program; It needs to be one enter; ,16 - 30 minutes,,daikon,10/12/17 11:32,11:32:25,nevermind?
414,10/12/17 11:28,HW/Project,Ho do I get my code to a count the number of times a letter appears in a string? ,31 - 60 minutes,,daikon,10/12/17 11:40,11:40:39,algorithmic 
376,10/12/17 11:36,HW/Project,Wondering if I have to put the      s near the string names in part 5;,6 - 15 minutes,,daikon,10/12/17 11:43,11:43:19,nevermind
549,10/12/17 11:38,HW/Project,hw5_part2;py creating the proper search function,6 - 15 minutes,,daikon,10/12/17 11:43,11:43:57,fishing
319,10/12/17 11:40,HW/Project,I am having some trouble with part 2 of the hw; specifically iterating through lists ,31 - 60 minutes,,daikon,10/12/17 11:51,11:51:47,help getting started
114,10/12/17 11:41,HW/Project,Error telling me def main(): should be indented; do not know how to reverse the string ,> 60 minutes,,,,,office hours over
426,10/12/17 11:53,HW/Project,Do inputs need to be within the functions outside of main?,16 - 30 minutes,,,,,office hours over
350,10/12/17 11:56,HW/Project,I dont know how to solve part 2 of homework 5;,> 60 minutes,,,,,office hours over
549,10/12/17 11:58,HW/Project,hw5_part2;py still having issue using a phrase for search,6 - 15 minutes,,,,,office hours over
549,10/12/17 12:58,HW/Project,hw5_part2;py ,> 60 minutes,,lima,10/12/17 12:58,12:58:46,Slicing problem
362,10/12/17 12:58,HW/Project,hw5 part3,< 5 minutes,,lima,10/12/17 13:03,13:03:23,Needed help seeing if first letter cap
552,10/12/17 12:58,HW/Project,Ending a Loop,31 - 60 minutes,,lima,10/12/17 13:07,13:07:50,looking for letters confusion
350,10/12/17 12:59,HW/Project,Homework 5,> 60 minutes,,lima,10/12/17 13:17,13:17:49,student left
235,10/12/17 12:59,HW/Project,Validity of my approach to reversing strings in problem 5 of hw5; getting program to end if i enter 0 for num words,> 60 minutes,,lima,10/12/17 13:18,13:18:06,MAde sure hw was not cheating
343,10/12/17 12:59,HW/Project,problem 3; my functions do not work ,16 - 30 minutes,,lima,10/12/17 13:22,13:22:33,hw3 and 4 questions
375,10/12/17 13:01,Concept,I  m not sure how parameters and scoping works ,6 - 15 minutes,,lima,10/12/17 13:27,13:27:20,didn  t understand functions
229,10/12/17 13:03,HW/Project,converting   STOP   to a string for part 6,> 60 minutes,,lima,10/12/17 13:35,13:35:19,Needed help with sentinel loop
114,10/12/17 13:03,HW/Project,I need to understand how slicing works to find a word within a phrase,> 60 minutes,,lima,10/12/17 13:38,13:38:39,nevermind
575,10/12/17 13:11,HW/Project,I  m not sure how to design a condition for part 3 so that there  s iteration;;;,31 - 60 minutes,,lima,10/12/17 13:38,13:38:52,nevermind
362,10/12/17 13:26,HW/Project,debug my code,< 5 minutes,,lima,10/12/17 13:40,13:40:18,help with punctuation
203,10/12/17 13:27,HW/Project,I am confused on how to make the function count,16 - 30 minutes,,lima,10/12/17 13:49,13:49:44,help with part1
264,10/12/17 13:31,HW/Project,Sentinel not working correctly,31 - 60 minutes,,lima,10/12/17 13:57,13:57:12,student left
396,10/12/17 13:36,HW/Project,part5 question on if I am allowed to reverse a string the way I did and if not explanation on how I can reverse the string,16 - 30 minutes,,lima,10/12/17 13:58,13:58:31,used lists for reverse instead of string
292,10/12/17 13:38,HW/Project,I  m stuck on utilizing the while loop to count the iterations of a word;,31 - 60 minutes,,vanilla,10/12/17 14:00,14:00:19,Fixed it
343,10/12/17 13:45,HW/Project,#4; check to see if number is divisible function is not working ,16 - 30 minutes,,squash,10/12/17 14:00,14:00:39,Did not call the function
477,10/12/17 13:52,HW/Project,For some reason indexing does not work on a string in my function; I do not know why;,16 - 30 minutes,,squash,10/12/17 14:04,14:04:12,Tried to modify string like it was a list
549,10/12/17 13:54,HW/Project,hw5_part5;py creating the print function and string issues,16 - 30 minutes,,squash,10/12/17 14:10,14:10:00,Fixed his while loop
535,10/12/17 14:02,HW/Project,I need help with reversing the strings in Part 5,6 - 15 minutes,,squash,10/12/17 14:19,14:19:15,Explained concatenation and answered other general questions
362,10/12/17 14:03,HW/Project,hw5 part 3 output,< 5 minutes,,squash,10/12/17 14:23,14:23:39,Problems with scope
494,10/12/17 14:04,HW/Project,My program is working perfectly; I just want to make sure that something that I did is within the guidelines of the HW assignment; ,16 - 30 minutes,,squash,10/12/17 14:26,14:26:53,Program was not returning anything
575,10/12/17 14:06,HW/Project,I have a question on interpreting the instructions in part 5 of the hw,< 5 minutes,,squash,10/12/17 14:31,14:31:44,nevermind
552,10/12/17 14:08,HW/Project,Loop acting up,> 60 minutes,,squash,10/12/17 14:31,14:31:58,nevermind
343,10/12/17 14:16,HW/Project,problem 5; my loop is infinite,16 - 30 minutes,,squash,10/12/17 14:32,14:32:09,Helped them figure out a solution (iterating backwards and concatenating)
549,10/12/17 14:20,HW/Project,hw5_part5;py,31 - 60 minutes,,vanilla,10/12/17 14:37,14:37:48,Helped clarify his approach + solution
549,10/12/17 14:21,HW/Project,hw5_part5;py general issues with construction of code ,31 - 60 minutes,,,,,requested again
375,10/12/17 14:30,HW/Project,My program isn  t counting the letter chosen ,16 - 30 minutes,,squash,10/12/17 14:38,14:38:43,Variables were in the wrong place
362,10/12/17 14:33,HW/Project,hw5 part 3 output,6 - 15 minutes,,,,,requested again
415,10/12/17 14:33,HW/Project,I̍m stuck,> 60 minutes,,squash,10/12/17 14:42,14:42:45,Extra parenthesis
194,10/12/17 14:35,HW/Project,"Finding the index at which a word begins in a string; EX: Found WORD and index 0"" (cs201; python)""",31 - 60 minutes,,squash,10/12/17 14:46,14:46:37,Helped him out with an alternative because he was using a library function
552,10/12/17 14:35,HW/Project,error in my program,> 60 minutes,,squash,10/12/17 14:56,14:56:21,Explained why he might use ;lower()
287,10/12/17 14:38,HW/Project,My code is only mentioning the first index and not all the indexes;,16 - 30 minutes,,fiddlehead,10/12/17 14:58,14:58:40,helped built a strategy for part2
408,10/12/17 14:38,HW/Project,how to print multiple outputs in one line; and how to make the program print on a new line after reaching a certain threshold ,6 - 15 minutes,,zucchini,10/12/17 15:00,15:00:16,nevermind
246,10/12/17 14:47,HW/Project,Part 5 reverse function - I don  t understand how to make it,> 60 minutes,,zucchini,10/12/17 15:00,15:00:48,some errors in main function; set up to  work on backwards func
415,10/12/17 14:49,HW/Project,I m stuck ,< 5 minutes,,fiddlehead,10/12/17 15:05,15:05:56,helped understand strings out of range
535,10/12/17 14:57,HW/Project,I read that the strings in Part 5 are in a list and I  m even more confused as to how to reverse them,< 5 minutes,,fiddlehead,10/12/17 15:11,15:11:09,helped understand how to go backwards through a list
362,10/12/17 14:59,HW/Project,hw5 part3 output,< 5 minutes,,fiddlehead,10/12/17 15:19,15:19:30,helped understand what accessing elements of a string is
343,10/12/17 15:02,HW/Project,problem 5; turning strings around backwards,16 - 30 minutes,,zucchini,10/12/17 15:22,15:22:32,Not too confident in lists and whiles ;;; sorta fishing for answers
203,10/12/17 15:06,HW/Project,My  index counter won  t count up when there is occurrence of a letter in the string,< 5 minutes,,fiddlehead,10/12/17 15:25,15:25:13,helped undertand the difference between index and aString[index]
396,10/12/17 15:07,HW/Project,not sure if I reversed the words correctly,16 - 30 minutes,,fiddlehead,10/12/17 15:32,15:32:17,nevermind
130,10/12/17 15:07,HW/Project,Hw5 pt5; I am having trouble going through the whole while loop and it gets stuck at an infinite loop and it doesn  t go through the whole statements;,> 60 minutes,,fiddlehead,10/12/17 15:34,15:34:59,showed that his program was passing a list not a string
194,10/12/17 15:16,HW/Project,Need to print out the beginning index of a word that appears in a string; EX: WORD found at index 0; etc;,> 60 minutes,,fiddlehead,10/12/17 15:43,15:43:38,wasn  t resetting a variable in the right place
555,10/12/17 15:24,HW/Project,part 1; trouble iterating times letter appears in string,6 - 15 minutes,,zucchini,10/12/17 15:45,15:45:16,Wanted to talk it out and understand the main purpose of the function
549,10/12/17 15:26,HW/Project,hw5_part3;py calling function issues,16 - 30 minutes,,jicama,10/12/17 16:00,16:00:44,Helped with understanding calling functions
130,10/12/17 15:31,HW/Project,Hw5 pt5; For this part I need help in figuring out how to make the strings print in reverse and print out all the reversed string instead of just one result;,> 60 minutes,,jicama,10/12/17 16:17,16:17:06,student left
535,10/12/17 15:36,HW/Project,The program in Part 5 is printing the word twice instead of reversing it,6 - 15 minutes,,jicama,10/12/17 16:17,16:17:41,student left
292,10/12/17 15:49,Lab,need help printing max,16 - 30 minutes,,jicama,10/12/17 16:17,16:17:59,Helped with lab 6
311,10/12/17 15:58,HW/Project,Problem with the in operator,16 - 30 minutes,,jicama,10/12/17 16:26,16:26:06,Helped with understanding string split
510,10/12/17 16:03,HW/Project,Stuck on hw5 part2 (slicing),16 - 30 minutes,,jicama,10/12/17 16:32,16:32:43,Reviewed ;join()
552,10/12/17 16:04,HW/Project,coding error,16 - 30 minutes,,jicama,10/12/17 16:38,16:38:57,student left
414,10/12/17 16:10,HW/Project,Can not get my program to count the number of times a letter appears in a string,> 60 minutes,,jicama,10/12/17 16:39,16:39:20,Helped understand functions
362,10/12/17 16:16,HW/Project,hw5 part 5,6 - 15 minutes,,jicama,10/12/17 16:56,16:56:28,Helped with understanding functions
535,10/12/17 16:21,HW/Project,I still need help reversing the strings in Part 5,6 - 15 minutes,,jicama,10/12/17 17:07,17:07:39,Helped with reversing words and list
555,10/12/17 16:45,HW/Project,part 2; trouble printing out string backwards,6 - 15 minutes,,jicama,10/12/17 17:30,17:30:40,Helped with reversing words
555,10/12/17 16:45,HW/Project,part 2; trouble printing string backwards,6 - 15 minutes,,,,,requested again
144,10/12/17 16:49,HW/Project,Add a count to an input function in part5,16 - 30 minutes,,kale,10/12/17 17:39,17:39:10,forwatermeloning outputs
130,10/12/17 17:16,HW/Project,hw5 pt5; for this part I need help figuring out how to fix the out of bounds error and the idea of how to actually reverse the string; i have the idea but i dont know how to fix it;,> 60 minutes,,jicama,10/12/17 17:39,17:39:25,Understanding passing in a list vs string
343,10/12/17 17:22,Concept,problem 6; while loop not working,> 60 minutes,,kale,10/12/17 17:44,17:44:34,using functions
408,10/12/17 17:27,HW/Project,would a while loop count variable starting with zero be considered a magic number?,< 5 minutes,,kale,10/12/17 17:53,17:53:11,choosing conditions for box print
373,10/12/17 17:54,HW/Project,How do I reverse a word without using a list?,16 - 30 minutes,,lima,10/12/17 17:59,17:59:21,used list for reverse function
130,10/12/17 17:56,HW/Project,"Hw5 pt6; I need help figuring out how to store the values by the user and also to add them and divide by the number inputed; and how to fix the STOP"" float -> int error""",> 60 minutes,,kale,10/12/17 18:04,18:04:57,averagine and sentinel loop
130,10/12/17 18:20,HW/Project,hw5 pt5; For this part I need help figuring out how to go through a string and what it needs to reverse it;  and how do i remove the brackets to the string;,> 60 minutes,,kale,10/12/17 18:21,18:21:18,reversing string and list
130,10/12/17 18:37,HW/Project,Hw5 pt2; i Need help in how to fix an index overprint logical error;  and case sensitivites; plus number of times found,> 60 minutes,,lima,10/12/17 18:43,18:43:28,Needed help with infinite loop
265,10/12/17 18:40,HW/Project,I don  t understand how to make something case insensitive,31 - 60 minutes,,lima,10/12/17 18:48,18:48:38,Needed help with not printing upper
350,10/12/17 18:49,HW/Project,I dont know how to do part 5 of the homework; I dont know how to reverse the string;,> 60 minutes,,lima,10/12/17 18:54,18:54:31,Needed help with backwards
130,10/12/17 18:53,HW/Project,hw5 pt2; i was able to fix it but now it  s being case sensitive and returning the result as 0 since no word was found,> 60 minutes,,,,,office hours over
233,10/13/17 10:02,HW/Project,having trouble finding phrase in string,> 60 minutes,,pepper,10/13/17 10:03,10:03:25,Wasn  t sure how to find the substring
224,10/13/17 10:06,HW/Project,Part 2; How to iterate through a list and check if the phrase matches a word,31 - 60 minutes,,pepper,10/13/17 10:12,10:12:05,Wasn  t sure how to find the substring
555,10/13/17 10:06,HW/Project,part 5; getting list to print out; error message,6 - 15 minutes,,mango,10/13/17 10:14,10:14:41,Help with backwards string
246,10/13/17 10:09,HW/Project,Part 3- error with booleans,> 60 minutes,,mango,10/13/17 10:21,10:21:47,Help with exiting while loop
361,10/13/17 10:11,Lab,lab is complete,> 60 minutes,,pepper,10/13/17 10:21,10:21:58,Point back on lab
292,10/13/17 10:14,HW/Project,I have one hw where I need to print an error message for not capitalizing the first letter and another hw where I need to add the total of a list but I keep getting an error message that I don;t understand;  It  s saying the the float can  t be accepted,16 - 30 minutes,,pepper,10/13/17 10:23,10:23:40,Python expecting float when sentinel was entered
367,10/13/17 10:18,HW/Project,I  m a little confused on the while loop in the Hw 5; #5 function; I have the first part but can  t get each string to reverse;,> 60 minutes,,pepper,10/13/17 10:30,10:30:27,Was passing whole list instead of string
193,10/13/17 10:19,HW/Project,indexing,> 60 minutes,,mango,10/13/17 10:33,10:33:45,help with substrings
552,10/13/17 10:37,HW/Project,Error,31 - 60 minutes,,pepper,10/13/17 10:45,10:45:27,Was trying to get last index and slicing string instead
233,10/13/17 10:42,HW/Project,problem with part 6,16 - 30 minutes,,pepper,10/13/17 10:47,10:47:57,Was casting input to float before checking if it was sentinel
414,10/13/17 10:52,HW/Project,How do I get my program to search for a word within a string,> 60 minutes,,pepper,10/13/17 11:01,11:01:59,Hadn  t started searching through string; suggested looking at slicing
193,10/13/17 10:53,HW/Project,debugging,6 - 15 minutes,,pepper,10/13/17 11:05,11:05:28,Didn  t realize was changing variable type inside while loop (int to string)
555,10/13/17 10:54,HW/Project,part 5; help with print statement,6 - 15 minutes,,pepper,10/13/17 11:12,11:12:13,Wasn  t updating variable to send to backwards() function
426,10/13/17 11:00,HW/Project,I dont know how to reverse the word in part 5; I have the inverse order though;,> 60 minutes,,pepper,10/13/17 11:15,11:15:32,Wasn  t sure how to reverse string
575,10/13/17 11:01,HW/Project,I have 3;;;I don  t know why my code is crashing; I  m not sure if I  m doing my function headers right; and I think I have a casting problem,> 60 minutes,,pepper,10/13/17 11:21,11:21:53,Wasn  t storing items in a list then calling backwards() function
229,10/13/17 11:03,Lab,Checking my lab 06 for the extra point,16 - 30 minutes,,pepper,10/13/17 11:30,11:30:36,Needed point back for lab
265,10/13/17 11:08,HW/Project,HW5_part2; I don  t know what to do to make it find an index and word at the same time in a string;,31 - 60 minutes,,pepper,10/13/17 11:32,11:32:26,Didn  t know how to find substring
414,10/13/17 11:20,HW/Project,How do I get my program to print the index the word starts at,6 - 15 minutes,,pepper,10/13/17 11:50,11:50:52,Was slicing incorrectly
319,10/13/17 11:24,HW/Project,hw5part2;py an issue with a conditional statement,> 60 minutes,,pepper,10/13/17 11:58,11:58:06,student left
529,10/13/17 11:26,Lab,I need help finding the lab link for lab6;,6 - 15 minutes,,pepper,10/13/17 11:58,11:58:48,Wanted point back on lab
367,10/13/17 11:26,HW/Project,Hw 5; #5 on the function while loop and reversing the string;,> 60 minutes,,,,,office hours over
426,10/13/17 11:44,HW/Project,hw5 i got confused trying to fix the program; I still kind of don  t understand how the parameters work ;,> 60 minutes,,,,,office hours over
115,10/13/17 11:54,HW/Project,Not looping through a list properly; I don  t understand anything in my entire life;,31 - 60 minutes,,,,,office hours over
529,10/13/17 13:00,HW/Project,join function is not working for hw5;,31 - 60 minutes,,olive,10/13/17 13:00,13:00:35,not assigning join to a varaiable
292,10/13/17 13:00,Lab,I just need help printing out the max,6 - 15 minutes,,olive,10/13/17 13:04,13:04:02,typo with variable names
362,10/13/17 13:00,HW/Project,hw6,< 5 minutes,,olive,10/13/17 13:07,13:07:36,help with structure of main and function (also told to put better q  s)
575,10/13/17 13:00,HW/Project,Casting problems,16 - 30 minutes,,olive,10/13/17 13:12,13:12:13,not assigning return val to a variable
552,10/13/17 13:00,HW/Project,program not workin correctly ,31 - 60 minutes,,olive,10/13/17 13:21,13:21:26,help with string slicing
426,10/13/17 13:02,HW/Project,hw 5; i was here earlier and i was told to have a variable in the backwards function; But it is hard to understand why it  s in the function;,31 - 60 minutes,,zucchini,10/13/17 13:22,13:22:43,looking for index out of range error
292,10/13/17 13:07,Lab,Lab check for zucchini,16 - 30 minutes,,zucchini,10/13/17 13:21,13:21:45,checked
510,10/13/17 13:13,HW/Project,Need help with finding words in line; Code DOES find the words; but not when alphabets are capital;,> 60 minutes,,zucchini,10/13/17 13:29,13:29:14,needed reminder on how to upper() or lower() for strings
228,10/13/17 13:18,HW/Project,dont know how to print somethign,16 - 30 minutes,,olive,10/13/17 13:32,13:32:15,help printing out reverse string on one line
362,10/13/17 13:33,HW/Project,how to print average of number in a list,< 5 minutes,,olive,10/13/17 13:41,13:41:32,help with structure of finding average
292,10/13/17 13:34,HW/Project,For the temperature homework when I enter stop it says that my index is out of range;  i don  t know what that means,31 - 60 minutes,,zucchini,10/13/17 13:44,13:44:52,Index out of range error -- reminded that lists and strings start at index 0
319,10/13/17 13:37,HW/Project,comment checking,< 5 minutes,,olive,10/13/17 13:46,13:46:17,help with checking coding standards stuff
362,10/13/17 13:50,HW/Project,fixing while loop,< 5 minutes,,zucchini,10/13/17 13:51,13:51:00,accumulating in the while loop
552,10/13/17 13:50,HW/Project,type error ,16 - 30 minutes,,olive,10/13/17 13:52,13:52:17,help with casting
510,10/13/17 13:51,HW/Project,Help with finding words in line; case insensitive;,31 - 60 minutes,,olive,10/13/17 13:56,13:56:32,help with dealing with case insensitivity
228,10/13/17 13:53,HW/Project,float,6 - 15 minutes,,zucchini,10/13/17 13:59,13:59:48,Float casting
426,10/13/17 13:53,HW/Project,(hw5 part 5) -  there are multiple inputs in the main function; but how would you get all those inputs in terms of the backwards function?,> 60 minutes,,olive,10/13/17 14:00,14:00:13,help with structuring part5
535,10/13/17 13:57,HW/Project,I need help reversing the strings in the list in Part 5,< 5 minutes,,olive,10/13/17 14:06,14:06:45,help with structuring part5
525,10/13/17 14:05,HW/Project,I don  t understand how to search through a string for a specific word,> 60 minutes,,olive,10/13/17 14:14,14:14:30,help with slicing in part2
362,10/13/17 14:05,HW/Project,DEBUG; PROGRAM is crashing may be there is no communication between main function and average function;,6 - 15 minutes,,zucchini,10/13/17 14:14,14:14:35,function calling and returns
511,10/13/17 14:08,HW/Project,I have too many nested ifs and whiles to solve a problem and I need some help cleaning it up; ,6 - 15 minutes,,olive,10/13/17 14:18,14:18:39,simplifying part 2
552,10/13/17 14:12,HW/Project,index error,31 - 60 minutes,,olive,10/13/17 14:25,14:25:52,wrong while loop condition
218,10/13/17 14:16,HW/Project,Having trouble with checking the capitalization of a letter for part 3 using strings;,31 - 60 minutes,,kale,10/13/17 14:29,14:29:11,using functions
414,10/13/17 14:18,HW/Project,I can not get my program to count the index correctly,31 - 60 minutes,,olive,10/13/17 14:30,14:30:04,indenting in part2
115,10/13/17 14:24,HW/Project,Function not calling list correctly; Also; could you explain gravitational waves to me?,31 - 60 minutes,,kale,10/13/17 14:34,14:34:50,going backwards
529,10/13/17 14:28,HW/Project,My while loop for hw5 is not working going out of bounds,16 - 30 minutes,,olive,10/13/17 14:37,14:37:13,help with structing part5
535,10/13/17 14:33,HW/Project,My program in Part 5 is only printing out a select few letters,6 - 15 minutes,,kale,10/13/17 14:44,14:44:34,calling backwards in loop
414,10/13/17 14:37,HW/Project,How do I get my program to check just the end of the string,31 - 60 minutes,,olive,10/13/17 14:44,14:44:43,help with getting last element of a string for puncuation
218,10/13/17 14:43,HW/Project,Keep having input errors on my while loop,16 - 30 minutes,,olive,10/13/17 14:49,14:49:04,parameters in input
